13/Sep/2020;xtox.tex;{-x}^{-x} using complex numbers to get there.
13/Sep/2020;multivector.tex;An axiomatic introduction of multivectors, vector products, and geometric algebra.
13/Sep/2020;examples.tex;Seems to be examples of multivectors.
13/Sep/2020;crashem.tex;Crashing Mathematica with HatchShading
17/Nov/2020;fibonacci.tex;The nth term of a Fibonacci series.
17/Nov/2020;fibonacciblog.tex;The nth term of a Fibonacci series.
19/Apr/2021;mandelbrot.tex;Looks like a blog post about a vector generalization of the Mandelbrot set.
27/Jun/2021;m2.tex;3D Mandelbrot
27/Jun/2021;mandel3.tex;A better 3D generalization of the Mandelbrot set.
14/Sep/2021;McMahonRelativity.tex;Informal errata for relativity DeMYSTIiFieD.
14/Sep/2021;signature.tex;contraction axiom, timelike, spacelike, and lightlike vectors.
14/Sep/2021;mvi.tex;vector and multivector inverses.
3/Jan/2022;parallelogram.tex;Area of a parallelogram
6/Mar/2022;dyadicVsGa.tex;Vector gradients in dyadic notation and geometric algebra.  Predecessor of the appendix in the academic paper.
8/Mar/2022;tensorComponents.tex;Verifying the GA form for the symmetric and antisymmetric components of the different rate of strain.  Predecessor of the appendix in the academic paper.
11/Mar/2022;cramersga.tex;Cramer's rule in geometric algebra: a review and derivation.
11/Mar/2022;lineintersection.tex;intersection of two lines in R^N
15/Mar/2022;greens.tex;summary of Green's function vlog series.
27/Mar/2022;gaugeFreedomAndPotentialsMaxwell.tex;followup for a vlog post.  STA gauge freedom -- potentials and gauge freedom.
11/Apr/2022;reciprocalAndTangentspace.tex;blog post (or series) about reciprocal frame, tangent spaces, gradient representations.  This is a candidate for classical mechanics notes.
22/Jun/2022;fsquared.tex;blog post series on Maxwell's equation STA Lagrangian representations, including magnetic sources
22/Jun/2022;gradoperator.tex;a less exploratory version of fsquared.tex.  This is a candidate for classical mechanics notes.
25/Dec/2022;inscribedTriangleProblem.tex;blog post solving for area of triangle inscribed in circle.
04/Feb/2023;circularAndSphericalAreaVolumeAndBoundaries.tex;https://peeterjoot.com/2023/02/04/circular-and-spherical-area-volume-and-boundary-integrals/ a correction to the original reciprocalAndTangentspace.tex
12/Jun/2023;triangleInscribedCircle.tex;circle inscribed in triangle.
5/Dec/2022;canonicalbivectors.tex;blog post: Canonical bivectors in spacetime algebra.
26/Nov/2022;maxwellsFiniteTime.tex;Maxwell’s equation: finite time differences.  This was correspondence with somebody.
31/Oct/2022;planckLength.tex;blog post: Verifying dimensions of Planck length
15/Sep/2022;regularNgon.tex;blog post: Interior angles of a regular n-sided polygon.
13/Jun/2023;bicomplexGA20.tex;A complex-pair representation of GA(2,0)
15/Jun/2023;bicomplexCl20.tex;A complex-pair representation of GA(2,0): second pass.
18/Sep/2023;solarellipse.tex;this should be incorporated into classicalmechanics.
2/Nov/2023;squareInCircle.tex;a geometry blog post.
16/Jan/2024;adjoint.tex;On matrix adjoints.  Using wedge product to solve the linear systems.
